//以下全部出自网络和大佬资源，如有冒犯请联系删除。[所有内容仅供学习使用，请勿用于违法用途]
//本人无公众号、无盈利、无引流、免费分享给小白使用，请勿轻信他人，谨防上当受骗。
央卫咪咕,#genre#
CCTV-01咪咕,http://z.b.bkpcp.top/m.php?id=cctv1
CCTV-02咪咕,http://z.b.bkpcp.top/m.php?id=cctv2
CCTV-03咪咕,http://z.b.bkpcp.top/m.php?id=cctv3
CCTV-04咪咕,http://z.b.bkpcp.top/m.php?id=cctv4
CCTV-05咪咕,http://z.b.bkpcp.top/m.php?id=cctv5
CCTV-5+咪咕,http://z.b.bkpcp.top/m.php?id=cctv5p
CCTV-06咪咕,http://z.b.bkpcp.top/m.php?id=cctv6
CCTV-07咪咕,http://z.b.bkpcp.top/m.php?id=cctv7
CCTV-08咪咕,http://z.b.bkpcp.top/m.php?id=cctv8
CCTV-09咪咕,http://z.b.bkpcp.top/m.php?id=cctv9
CCTV-10咪咕,http://z.b.bkpcp.top/m.php?id=cctv10
CCTV-11咪咕,http://z.b.bkpcp.top/m.php?id=cctv11
CCTV-12咪咕,http://z.b.bkpcp.top/m.php?id=cctv12
CCTV-13咪咕,http://z.b.bkpcp.top/m.php?id=cctv13
CCTV-14咪咕,http://z.b.bkpcp.top/m.php?id=cctv14
CCTV-15咪咕,http://z.b.bkpcp.top/m.php?id=cctv15
CCTV-16咪咕,https://yunmei.tv/main/cctv-16.m3u8
CCTV-17咪咕,http://z.b.bkpcp.top/m.php?id=cctv17
cct4欧洲咪咕,http://z.b.bkpcp.top/m.php?id=cctv4o
cct4美洲咪咕,http://z.b.bkpcp.top/m.php?id=cctv4m
家庭影院咪咕,http://z.b.bkpcp.top/m.php?id=jtyy
东方影视咪咕,http://z.b.bkpcp.top/m.php?id=shys
陕西卫视咪咕,http://z.b.bkpcp.top/m.php?id=sxws
湖北卫视咪咕,http://z.b.bkpcp.top/m.php?id=hubws
江西卫视咪咕,http://z.b.bkpcp.top/m.php?id=jxws
江苏卫视咪咕,http://z.b.bkpcp.top/m.php?id=jsws
广东卫视咪咕,http://z.b.bkpcp.top/m.php?id=gdws
游戏风云咪咕,http://z.b.bkpcp.top/m.php?id=yxfy
七彩戏剧咪咕,http://z.b.bkpcp.top/m.php?id=qcxj
欢笑剧场咪咕,http://z.b.bkpcp.top/m.php?id=hxjc
劲爆体育咪咕,http://z.b.bkpcp.top/m.php?id=jbty
魅力足球咪咕,http://z.b.bkpcp.top/m.php?id=mlzq
CCTV-01咪咕,http://goo.bkpcp.top/mg/cctv1
CCTV-02咪咕,http://goo.bkpcp.top/mg/cctv2
CCTV-03咪咕,http://goo.bkpcp.top/mg/cctv3
CCTV-04咪咕,http://goo.bkpcp.top/mg/cctv4
CCTV-05咪咕,http://goo.bkpcp.top/mg/cctv5
CCTV-06咪咕,http://goo.bkpcp.top/mg/cctv6
CCTV-07咪咕,http://goo.bkpcp.top/mg/cctv7
CCTV-08咪咕,http://goo.bkpcp.top/mg/cctv8
CCTV-09咪咕,http://goo.bkpcp.top/mg/cctv9
CCTV-10咪咕,http://goo.bkpcp.top/mg/cctv10
CCTV-11咪咕,http://goo.bkpcp.top/mg/cctv11
CCTV-12咪咕,http://goo.bkpcp.top/mg/cctv12
CCTV-13咪咕,http://goo.bkpcp.top/mg/cctv13
CCTV-14咪咕,http://goo.bkpcp.top/mg/cctv14
CCTV-15咪咕,http://goo.bkpcp.top/mg/cctv15
CCTV-16咪咕,https://yunmei.tv/main/cctv-16.m3u8
CCTV-17咪咕,http://goo.bkpcp.top/mg/cctv17
cct4欧洲咪咕,http://goo.bkpcp.top/mg/cctv4o
cct4美洲咪咕,http://goo.bkpcp.top/mg/cctv4m
CGT西语咪咕,http://goo.bkpcp.top/mg/cgtne
CGT阿语咪咕,http://goo.bkpcp.top/mg/cgtna
CGT法语咪咕,http://goo.bkpcp.top/mg/cgtnf
家庭影院咪咕,http://goo.bkpcp.top/mg/chcjt
动作电影咪咕,http://goo.bkpcp.top/mg/chcdz
东方卫视咪咕,http://goo.bkpcp.top/mg/dfws
陕西卫视咪咕,http://goo.bkpcp.top/mg/sxws
湖北卫视咪咕,http://goo.bkpcp.top/mg/hubws
江西卫视咪咕,http://goo.bkpcp.top/mg/jxws
江苏卫视咪咕,http://goo.bkpcp.top/mg/jsws
海南卫视咪咕,http://goo.bkpcp.top/mg/hinws
四海钓鱼咪咕,http://goo.bkpcp.top/mg/shdy
山东教育咪咕,http://goo.bkpcp.top/mg/sdjy
游戏风云咪咕,http://goo.bkpcp.top/mg/yxfy
之江纪录咪咕,http://goo.bkpcp.top/mg/zjjl
杭州综合咪咕,http://goo.bkpcp.top/mg/hzzh
杭州明珠咪咕,http://goo.bkpcp.top/mg/hzmz
杭州生活咪咕,http://goo.bkpcp.top/mg/hzsh
杭州影视咪咕,http://goo.bkpcp.top/mg/hzys
杭州少体咪咕,http://goo.bkpcp.top/mg/hzse
嵊泗综合咪咕,http://goo.bkpcp.top/mg/ssxwzh
