



移动专区,#genre#

cctv1,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8
cctv2,http://39.134.67.108/PLTV/88888888/224/3221225599/1.m3u8
cctv3,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8
cctv4,http://39.134.67.108/PLTV/88888888/224/3221225797/1.m3u8
cctv5,http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8
cctv5+,http://39.134.67.108/PLTV/88888888/224/3221225507/1.m3u8
cctv6,http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8
cctv7,http://39.134.67.108/PLTV/88888888/224/3221225671/1.m3u8
cctv8,http://39.134.67.108/PLTV/88888888/224/3221225795/1.m3u8
cctv9,http://39.134.67.108/PLTV/88888888/224/3221225676/1.m3u8
cctv10,http://39.134.67.108/PLTV/88888888/224/3221225677/1.m3u8
cctv11,http://39.134.67.108/PLTV/88888888/224/3221225517/1.m3u8
cctv12,http://39.134.67.108/PLTV/88888888/224/3221225669/1.m3u8
cctv13,http://39.134.67.108/PLTV/88888888/224/3221225812/1.m3u8
cctv14,http://39.134.67.108/PLTV/88888888/224/3221225674/1.m3u8
cctv15,http://39.134.67.108/PLTV/88888888/224/3221225513/1.m3u8
cctv16,http://39.134.67.108/PLTV/88888888/224/3221225893/1.m3u8
cctv17,http://39.134.67.108/PLTV/88888888/224/3221225708/1.m3u8
cctv1,http://39.134.67.108/PLTV/88888888/224/3221226119/1.m3u8
cctv11,http://39.134.67.108/PLTV/88888888/224/3221226123/1.m3u8
cctv13,http://39.134.67.108/PLTV/88888888/224/3221226125/1.m3u8
cctv10,http://39.134.67.108/PLTV/88888888/224/3221226128/1.m3u8
cctv1,http://39.134.64.87:6610/PLTV/88888888/224/3221226016/index.m3u8?IASHttpSessionId=
cctv1,http://39.134.64.87:6610/PLTV/88888888/224/3221226559/index.m3u8?IASHttpSessionId=
cctv2,http://39.134.64.87:6610/PLTV/88888888/224/3221225588/index.m3u8?IASHttpSessionId=
cctv3,http://39.134.64.87:6610/PLTV/88888888/224/3221226021/index.m3u8?IASHttpSessionId=
cctv4,http://39.134.64.87:6610/PLTV/88888888/224/3221226428/index.m3u8?IASHttpSessionId=
cctv5,http://39.134.64.87:6610/PLTV/88888888/224/3221226019/index.m3u8?IASHttpSessionId=
cctv6,http://39.134.64.87:6610/PLTV/88888888/224/3221226010/index.m3u8?IASHttpSessionId=
cctv7,http://39.134.64.87:6610/PLTV/88888888/224/3221225733/index.m3u8?IASHttpSessionId=
cctv8,http://39.134.64.87:6610/PLTV/88888888/224/3221226008/index.m3u8?IASHttpSessionId=
