


央视卫视,#genre#

cctv1,http://219.145.201.198:3389/cctv1ly/index.m3u8
cctv2,http://123.138.88.162:3389/cctv2qp/index.m3u8
cctv3,http://219.145.201.198:3389/cctv3pA/index.m3u8
cctv4,http://123.138.88.162:3389/cctv4rC/index.m3u8
cctv5,http://219.145.201.198:3389/cctv5yo/index.m3u8
cctv6,http://123.138.88.162:3389/cctv6om/index.m3u8
cctv7,http://219.145.201.198:3389/cctv7Et/index.m3u8
cctv8,http://123.138.88.162:3389/cctv8Bk/index.m3u8
cctv9,http://219.145.201.198:3389/cctv9Oy/index.m3u8
cctv10,http://123.138.88.162:3389/cctv10yW/index.m3u8
cctv11,http://219.145.201.198:3389/cctv11xW/index.m3u8
cctv12,http://123.138.88.162:3389/cctv12vb/index.m3u8
cctv13,http://219.145.201.198:3389/cctv13xM/index.m3u8
cctv14,http://123.138.88.162:3389/cctv14Vh/index.m3u8
cctv15,http://219.145.201.198:3389/cctv15xL/index.m3u8
cctv16,http://123.138.88.162:3389/cctv16GL/index.m3u8
cctv17,http://219.145.201.198:3389/cctv17MV/index.m3u8
湖南卫视,http://123.138.88.162:3389/HNWSnF/index.m3u8
浙江卫视,http://219.145.201.198:3389/ZJWSvY/index.m3u8
江苏卫视,http://123.138.88.162:3389/JSWSfl/index.m3u8
安徽卫视,http://219.145.201.198:3389/AHWSWe/index.m3u8
辽宁卫视,http://123.138.88.162:3389/LNWSTU/index.m3u8
广东卫视,http://219.145.201.198:3389/GDWSwu/index.m3u8
北京卫视,http://123.138.88.162:3389/BJWSDF/index.m3u8
天津卫视,http://219.145.201.198:3389/TJWSlN/index.m3u8
东方卫视,http://123.138.88.162:3389/DFWSwa/index.m3u8
深圳卫视,http://219.145.201.198:3389/SWSjB/index.m3u8
四川卫视,http://123.138.88.162:3389/SCWSMf/index.m3u8
东南卫视,http://219.145.201.198:3389/DNWSWo/index.m3u8
贵州卫视,http://123.138.88.162:3389/GZWSdo/index.m3u8
黑龙江卫视,http://219.145.201.198:3389/HLJWIF/index.m3u8
厦门卫视,http://123.138.88.162:3389/XMWSNs/index.m3u8
云南卫视,http://219.145.201.198:3389/YNWSMo/index.m3u8
陕西卫视,http://123.138.88.162:3389/SXWSTVv/index.m3u8
内蒙古卫视,http://219.145.201.198:3389/NMGWIp/index.m3u8
宁夏卫视,http://123.138.88.162:3389/NXWSRT/index.m3u8
青海卫视,http://219.145.201.198:3389/QHWSyn/index.m3u8
新疆卫视,http://123.138.88.162:3389/XJWSUz/index.m3u8
甘肃卫视,http://219.145.201.198:3389/GSWSeP/index.m3u8
西藏卫视,http://123.138.88.162:3389/XCWSlD/index.m3u8
海南卫视,http://219.145.201.198:3389/HNWSPDwN/index.m3u8
兵团卫视,http://123.138.88.162:3389/BTWSbm/index.m3u8
河北卫视,http://219.145.201.198:3389/HBWSTYE/index.m3u8
山东卫视,http://123.138.88.162:3389/SDWSqi/index.m3u8
吉林卫视,http://219.145.201.198:3389/JLWSYs/index.m3u8
山西卫视,http://123.138.88.162:3389/SXWSCL/index.m3u8
广西卫视,http://219.145.201.198:3389/GXWSMW/index.m3u8
湖北卫视,http://123.138.88.162:3389/HBWSQG/index.m3u8
重庆卫视,http://219.145.201.198:3389/ZQWSGc/index.m3u8
河南卫视,http://123.138.88.162:3389/HNWSTaK/index.m3u8
江西卫视,http://219.145.201.198:3389/JXWSFC/index.m3u8
福建卫视,http://123.138.88.162:3389/FJWSXj/index.m3u8
康巴卫视,http://219.145.201.198:3389/KBWSYE/index.m3u8
延边卫视,http://123.138.88.162:3389/YBWSIv/index.m3u8
农林卫视,http://219.145.201.198:3389/NLWSCG/index.m3u8
大湾区卫视,http://123.138.88.162:3389/DWQWStu/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
青海安多卫视,http://stream.qhbtv.com/adws/sd/live.m3u8
三沙卫视,http://111.160.17.2:59901/tsfile/live/0001_45.m3u8?key=txiptv&playlive=1&authid=0
西藏藏语卫视,http://php.jdshipin.com:8880/xztv.php?id=zy
蒙语卫视,https://livestream-bt.nmtv.cn/nmtv/2315general.m3u8?txSecret=4971666599ef9411629213c9a300bf66&txTime=771EF880
内蒙古卫视,http://124.128.73.58:9901/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视郑州,http://42.237.26.72:55555//hls/29/index.m3u8
江西卫视郑州,http://42.237.26.72:55555//hls/28/index.m3u8
湖南卫视郑州,http://42.237.26.72:55555//hls/19/index.m3u8

央卫极速|备,#genre#


CCTV1,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=cctv1
CCTV1,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=cctv1
CCTV2,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=cctv2
CCTV3,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=cctv3
CCTV4,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=cctv4
CCTV4欧洲,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=cctv4o
CCTV4美洲,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=cctv4m
CCTV5+,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=cctv5p
CCTV5,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=cctv5
CCTV6,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=cctv6
CCTV7,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=cctv7
CCTV8,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=cctv8
CCTV9,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=cctv9
CCTV10,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=cctv10
CCTV11,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=cctv11
CCTV12,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=cctv12
CCTV13,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=cctv13
CCTV14,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=cctv14
CCTV15,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=cctv15
CCTV16,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=cctv16
CCTV17,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=cctv17




NBA经典,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=nba
湖南卫视,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=hunws
浙江卫视,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=zjws
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8?$浙江官方

东方卫视,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=dfws
东方影视,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=shys
云南卫视,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=ynws
吉林卫视,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=jlws
四川卫视,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=scws
宁夏卫视,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=nxws
安徽卫视,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=ahws
广东卫视,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=gdws
广西卫视,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=gxws
江苏卫视,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=jsws
江西卫视,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=jxws
河北卫视,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=hbws
河南卫视,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=hnws
浙江卫视,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=zjws
湖北卫视,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=hbws
甘肃卫视,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=gsws
贵州卫视,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=gzws
陕西卫视,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=sxws
青海卫视,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=qhws
大湾区卫视,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=dwqws
东南卫视,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=dnws
海峡卫视,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=hxws
上海新闻综合,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=shxw
南京科教,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=njkj
南京十八频道,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=njsb
江苏城市频道,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=jscs
江苏国际,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=jsgj
江苏教育,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=jsjy
江苏影视,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=jsys
江苏综艺,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=jszy
海峡卫视,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=hxws


CGTN亚洲,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=cgtn
CGTN西语,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=cgtne
CGTN法语,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=cgtnf
CETV1教育,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=cetv1
CETV2教育,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=cetv2
CETV4教育,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=cetv4
老故事,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=lgs
发现之旅,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=fxzl
中学生,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=zxs
七彩戏剧,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=qcxj
家庭影院,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=jtyy
欢笑剧场,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=hxjc
七彩戏剧,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=qcxj
游戏风云,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=yxfy
魅力足球,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=mlzq
劲爆体育,http://zhibo.feylen.top/fltv/js/k-web/ku9/js/migu.js?id=jbty



港澳台,#genre#

凤凰香港,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk
凤凰香港,http://php.jdshipin.com:8880/xsj.php?id=phtv-hk 
凤凰资讯,https://cdn3.163189.xyz/live/fhzx/stream.m3u8
凤凰资讯,http://php.jdshipin.com:8880/xsj.php?id=phtv-info 
凤凰资讯,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
凤凰资讯,http://cdn5.1678520.xyz:80/live/live2.1.php?id=fhzx
凤凰资讯,http://cdn5.1678520.xyz/live/live2.1.php?id=fhzx
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8
凤凰卫视,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
凤凰卫视,https://cdn.163189.xyz/live/fhzw/stream.m3u8
凤凰中文,http://cdn.163189.xyz/live/fhzw/stream.m3u8
凤凰中文,http://php.jdshipin.com:8880/xsj.php?id=phtv-cn 
凤凰中文,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
凤凰中文,http://cdn5.1678520.xyz:80/live/live2.1.php?id=fhzw
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港_C+_,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
重温经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
重温经典,http://cdn3.163189.xyz/live/cwjd/stream.m3u8
翡翠台北美版(TVB J1),https://cdn5.1678520.xyz/live/live2.1.php?id=j1
翡翠台北美版(TVB J1),http://php.jdshipin.com:8880/TVOD/iptv.php?id=j1
翡翠台4K,https://cdn.163189.xyz/live/fct4k/stream.m3u8
翡翠台4K,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4
翡翠台4K,http://cdn.132.us.kg/live/fct4k/stream.m3u8
翡翠台2K,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
翡翠台2K,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct2
翡翠台1K,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
翡翠台,https://cdn3.163189.xyz/live/fct/stream.m3u8
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
翡翠,http://cdn9.163189.xyz/smt1.1.php?id=jade_twn
纬来精彩,http://61.221.215.25:8800/hls/48/index.m3u8
爱奇艺,http://php.jdshipin.com/smt.php?id=Qiyi
澳门莲花,http://php.jdshipin.com:8880/amlh.php
澳门Mac,http://cdn.132.us.kg/live/as/stream.m3u8.
澳视澳门,https://cdn.163189.xyz/live/asam/stream.m3u8
澳视澳门,http://php.jdshipin.com:8880/TVOD/iptv.php?id=asam
澳视澳门,http://cdn.132.us.kg/live/asam/stream.m3u8
